5-НОК  таб. п/обол. 50мг №50
"Пипетка для микро инъекций - внутренний диаметр 5,5 мкм; внешний диаметр 7 мкм; угол изгиба 30°; 35°   "
"Пипетка для холдинга- внутренний диаметр 17 мкм; внешний диаметр 80 мкм; угол изгиба 30°; 35°  "
ПИРАЦЕТАМ  амп. 20% 5мл №10
ПИРАЦЕТАМ  амп. 20% 5мл №10
ПИРАЦЕТАМ  амп. 20% 5мл №10
ПИРАЦЕТАМ  амп. 20% 5мл №10
ПИРАЦЕТАМ  амп. 20% 5мл №10
ПИРАЦЕТАМ  амп. 20% 5мл №10
ПИРАЦЕТАМ  амп. 20% 5мл №10
ПИРАЦЕТАМ  капс. 400мг №60
ПИРИДОКСИНА Г/ХЛ  амп. 5% 1мл №10
ПИРИДОКСИНА Г/ХЛ  амп. 5% 1мл №10
ПИРИДОКСИНА Г/ХЛ  амп. 5% 1мл №10
ПИРИДОКСИНА Г/ХЛ  амп. 5% 1мл №10
ПИРИДОКСИНА Г/ХЛ  амп. 5% 1мл №10
ПИРИДОКСИНА Г/ХЛ  амп. 5% 1мл №10
ПИРИДОКСИНА Г/ХЛ  амп. 5% 1мл №10
ПК-МЕРЦ  р-р 500мл №2 
ПК-МЕРЦ  р-р 500мл №2 
ПК-МЕРЦ  таб. п/обол. 100мг № 30
ПЛАВИКС  75мг таб. п/об  №100
ПЛАВИКС  75мг таб. п/об  №100
ПЛАТИФИЛЛИН  амп. 0,2% 1мл №10
ПЛАТИФИЛЛИН  амп. 0,2% 1мл №10
ПЛАТИФИЛЛИН  амп. 0,2% 1мл №10
ПЛАТИФИЛЛИН  амп. 0,2% 1мл №10
ПЛАТИФИЛЛИН  амп. 0,2% 1мл №10
ПЛАТИФИЛЛИН  амп. 0,2% 1мл №10
ПЛАТИФИЛЛИН  амп. 0,2% 1мл №10
ПЛАТИФИЛЛИН  амп. 0,2% 1мл №10
ПЛАТИФИЛЛИН  амп. 0,2% 1мл №10
ПЛАТИФИЛЛИН  амп. 0,2% 1мл №10
ПОЛИДЕКСА  назальный спрей 15мл.
ПРАДАКСА **  110мг №180
ПРАДАКСА **  110мг №180
ПРАДАКСА **  110мг №180
ПРАДАКСА **  110мг №60
ПРЕДНИЗОЛОН  таб. 5мг №100
ПРЕДНИЗОЛОН  таб. 5мг №100
ПРЕДНИЗОЛОН  таб. 5мг №100
ПРЕДУКТАЛ МВ  таб. п/обол. 35мг №60
ПРЕДУКТАЛ МВ  таб. п/обол. 35мг №60
ПРЕСТАРИУМ А  таб.  5мг №30
ПРЕСТАРИУМ А  таб.  5мг №30
ПРЕСТАРИУМ А  таб.  5мг №30
ПРЕСТАРИУМ А  таб.  5мг №30
ПРЕСТАРИУМ А  таб.  5мг №30
ПРИМОВИСТ  шпр. в/в 0,25ммоль/мл 10мл №1
ПРОГЕСТЕРОН  амп. 2.5% 1мл №10
ПРОГЕСТЕРОН  амп. 2.5% 1мл №10
ПРОГЕСТЕРОН  амп. 2.5% 1мл №10
ПРОГЕСТЕРОН  амп. 2.5% 1мл №10
ПРОЗЕРИН  амп. 0,05% 1мл №10
ПРОЗЕРИН  амп. 0,05% 1мл №10
ПРОЗЕРИН  амп. 0,05% 1мл №10
ПРОЗЕРИН  амп. 0,05% 1мл №10
ПРОЗЕРИН  амп. 0,05% 1мл №10
ПРОЗЕРИН  амп. 0,05% 1мл №10
ПРОЗЕРИН  амп. 0,05% 1мл №10
ПРОЗЕРИН  амп. 0,05% 1мл №10
ПРОЗЕРИН  амп. 0,05% 1мл №10
Прокладка полиэтиленовая  
Прокладка тибиальная НексДжен LPS-Flex/CR-Flex  
Прокладка тибиальная НексДжен LPS-Flex/CR-Flex  
ПРОЛИА  60мг 1мл №1шприц
ПРОМЕДОЛ  амп. 2% 1мл
ПРОНОРАН  таб. п/обол. 50мг №30
ПРОНТОСАН   гель туба 250г
ПРОНТОСАН   р-р 350мл
ПРОПАНОРМ **  таб. 150мг №50
ПРОПАНОРМ **  таб. 150мг №50
ПРОПАНОРМ **  таб. 150мг №50
ПРОПАНОРМ **  таб. 150мг №50
ПРОПАНОРМ **  таб. 150мг №50
ПРОПАФЕНОН  р-р в/в 3,5мг/мл 10мл №10
ПРОПОФОЛ-ЛИПУРО  1%-20мл №5
ПРОПОФОЛ-ЛИПУРО  1%-20мл №5
ПРОПОФОЛ-ЛИПУРО  1%-20мл №5
ПРОПОФОЛ-ЛИПУРО  1%-20мл №5
ПРОТАМИНА СУЛЬФАТ *  амп. 1% 5мл №10
ПРОТАМИНА СУЛЬФАТ *  амп. 1% 5мл №10
ПУЛЬМИКОРТ  0,25мг/мл 2мл №20
ПУЛЬМИКОРТ  0,25мг/мл 2мл №20
ПУЛЬМИКОРТ  0,5мг\мл 2мл №20
ПУЛЬМИКОРТ  0,5мг\мл 2мл №20
ПУЛЬМИКОРТ  0,5мг\мл 2мл №20
ПУЛЬМИКОРТ  0,5мг\мл 2мл №20
ПУСТЫРНИКА НАСТОЙКА  фл. 25мл
РАДАХЛОРИН  р-р в/в 3,5мг/мл 10мл №1
РАДАХЛОРИН  р-р в/в 3,5мг/мл 10мл №1
РАДАХЛОРИН  р-р в/в 3,5мг/мл 10мл №1
РАДАХЛОРИН  р-р в/в 3,5мг/мл 10мл №1
Раствор стерильный интраокулярный ирригационный BSS 500 мл  
РЕАМБЕРИН  фл. 1.5% 400мл
РЕАМБЕРИН  фл. 1.5% 400мл
РЕАМБЕРИН  фл. 1.5% 400мл
РЕАМБЕРИН  фл. 1.5% 400мл
РЕВАЛГИН  амп. 5мл №5
РЕВАЛГИН  амп. 5мл №5
РЕГИДРОН  пор. 18.9г №20
РЕЗОКЛАСТИН ФС  конц. д/инф. фл. 4мг/5мл
РЕЛАНИУМ  5 мг/мл 2 мл
РЕЛАНИУМ  5 мг/мл 2 мл
РЕЛАНИУМ  5 мг/мл 2 мл
РЕЛИФ **  супп. рект. №12
РЕМАКСОЛ  р-р д/инф 400мл
РЕНИТЕК  таб. 10мг № 14
РЕНИТЕК  таб. 10мг № 14
РЕОПОЛИГЛЮКИН  фл. 200мл
РЕОПОЛИГЛЮКИН  фл. 200мл
РЕОПОЛИГЛЮКИН  фл. 200мл
РЕОПОЛИГЛЮКИН  фл. 200мл
РЕОПОЛИГЛЮКИН  фл. 400мл
РЕТАБОЛИЛ  амп. 50мг 1мл №1
РИБОКСИН  амп. 2% 10мл №10
РИНГЕР  фл. 500мл
РИНГЕР  фл. 500мл
РИНГЕР  фл. 500мл
РИНГЕР  фл. 500мл
РИНОНОРМ  спрей 0,05 % - 15мл
РИНОРУС  капли назал 0,1% фл-кап 10,0мл
РИНОРУС  капли назал 0,1% фл-кап 10,0мл
РИФАМПИЦИН  пор. д/ин 0,15 №10
РОКУРОНИЙ  Каби 10мг/мл 5мл №10
РОКУРОНИЙ  Каби 10мг/мл 5мл №10
Рукоятка бимануальная  (уп. 6шт.) Alcon Grieshaber., AG, Швейцария 170.71  
САБ СИМПЛЕКС  сусп. 30мл 
САЛИЦИЛОВАЯ КИСЛОТА  фл. 2% 40мл
САЛЬБУТАМОЛ  аэр. 100мкг/доза 12мл
СЕВОРАН  250мл
СЕВОРАН  250мл
СЕВОРАН  250мл
СЕВОРАН  250мл
СЕВОРАН  250мл
СЕНАДЕ  таб. №500
СЕНАДЕ  таб. №500
СИДНОФАРМ **  таб. 2мг №30
СИДНОФАРМ **  таб. 2мг №30
СИДНОФАРМ **  таб. 2мг №30
СИМБИКОРТ ТУРБУХАЛЕР  160+4,5мкг/120доз
СИМВАСТАТИН  10мг таб. №28
СИМВАСТАТИН  10мг таб. №28
СИМВАСТАТИН  10мг таб. №28
СИМВАСТАТИН  10мг таб. №28
СИМВАСТАТИН  20мг таб. п/об №30
СИМВАСТАТИН  20мг таб. п/об №30
СИМВАСТАТИН  20мг таб. п/об №30
СИМВАСТАТИН  20мг таб. №20
СИНАФЛАН  мазь 0.025% 10г
СИНГУЛЯР  тб 5мг №14
СИНГУЛЯР  тб 5мг №14
СИНУФОРТЕ  фл. 50мг
СИОФОР  таб. п/обол. 1000мг №60
СИОФОР  таб. п/обол. 1000мг №60
СИОФОР  таб. п/обол. 500мг № 60
СИОФОР  таб. п/обол. 500мг № 60
СИОФОР  таб. п/обол. 850мг № 60
СИРДАЛУД  таб.  2мг №30
СИРДАЛУД  таб.  2мг №30
СИРДАЛУД  таб. 4мг №30
СИРДАЛУД  таб. 4мг №30
СИРДАЛУД  таб. 4мг №30
СИСТЕМА КОХЛЕАРНОЙ ИМПЛАНТАЦИИ: кохлеарный имплантат CI512 и звуковой процессор модель СР910 заушного типа  
СИСТЕМА КОХЛЕАРНОЙ ИМПЛАНТАЦИИ: кохлеарный имплантат CI512 и звуковой процессор модель СР910 заушного типа  
СИСТЕМА КОХЛЕАРНОЙ ИМПЛАНТАЦИИ: кохлеарный имплантат CI512 и звуковой процессор модель СР910 заушного типа  
СИСТЕМА КОХЛЕАРНОЙ ИМПЛАНТАЦИИ: кохлеарный имплантат CI512 и звуковой процессор модель СР910 заушного типа  
СМЕКТА  пор. в пак. 3г №10
СМЕКТА  пор. в пак. 3г №10
СМЕКТА  пор. в пак. 3г №10
СОЛУ-МЕДРОЛ  фл. 1г
СОЛУ-МЕДРОЛ  фл. 1г
СОЛУ-МЕДРОЛ  фл. 1г
СОЛУ-МЕДРОЛ  фл. 500мг
СОЛУ-МЕДРОЛ  фл. 500мг
СОНАПАКС **  драже. 25мг №60
СОНИЗИН   капс. 0,4мг №30
СОНИЗИН   капс. 0,4мг №30
СОНИЗИН   капс. 0,4мг №30
СОНИЗИН   капс. 0,4мг №30
СОНИЗИН   капс. 0,4мг №30
СОРБИФЕР ДУРУЛЕС  таб. п/обол. №50
СОРБИФЕР ДУРУЛЕС  таб. п/обол. №50
СОТАГЕКСАЛ  таб. 160мг №20
СОТАГЕКСАЛ  таб.80мг №20
СОТАГЕКСАЛ  таб.80мг №20
СОТАГЕКСАЛ  таб.80мг №20
СОТАГЕКСАЛ  таб.80мг №20
СОТАГЕКСАЛ  таб.80мг №20
СОТАГЕКСАЛ  таб.80мг №20
СПАЗМАЛГОН  амп. 5мл №10
СПАЗМАЛГОН  таб. №20
СПАРЕКС  капс. пролонг. 200мг №30
СПАРЕКС  капс. пролонг. 200мг №30
СПАРЕКС  капс. пролонг. 200мг №30
СПИРИВА  капс 18мкг №30+инг
СПИРТ ЭТИЛОВЫЙ  фл. 70% 100мл
СПИРТ ЭТИЛОВЫЙ  фл. 70% 100мл
СПИРТ ЭТИЛОВЫЙ  фл. 70% 100мл
СПИРТ ЭТИЛОВЫЙ  фл. 70% 100мл
СПИРТ ЭТИЛОВЫЙ  фл. 95% 100мл
СПИРТ ЭТИЛОВЫЙ  фл. 95% 100мл
СПИРТ ЭТИЛОВЫЙ  фл. 95% 100мл
"Стабилизатор  плечевой неопреновый суставной  универсальный  ""KORSA""  "
Стабилизатор лучезапястного сустава удлиненный с жесткой металлической вставкой  
Стельки со съемным супинатором ортопедические  
Стент внутрисосудистый BioMime (Meril Life ) Индия  
Стент внутрисосудистый BioMime (Meril Life ) Индия  
Стент внутрисосудистый BioMime (Meril Life ) Индия  
Стент внутрисосудистый BioMime (Meril Life ) Индия  
Стент внутрисосудистый BioMime (Meril Life ) Индия  
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
"Стент коронарный REBEL Monorail на системе доставки, ""Бостон Сайентифик Корпорейшн"" США  "
СТЕРОФУНДИН изотонический  1000 мл
СТЕРОФУНДИН изотонический  1000 мл
СТЕРОФУНДИН изотонический  1000 мл
СТЕРОФУНДИН изотонический  1000 мл
СТЕРОФУНДИН изотонический  1000 мл
СТЕРОФУНДИН изотонический  1000 мл
СТЕРОФУНДИН изотонический  1000 мл
СТЕРОФУНДИН изотонический  1000 мл
СТЕРОФУНДИН изотонический  1000 мл
СТЕРОФУНДИН изотонический  1000 мл
СТЕРОФУНДИН изотонический  1000 мл
СТРЕПСИЛС  таб. №24 /мед-лимон/
СТРЕПТОМИЦИН  в/м 1,0 №1
СТРЕПТОЦИДА ** РАСТВ.ЛИНИМЕНТ   5% 30,0г
СУЛЬФАЦИЛ НАТРИЯ  фл. 20% 5мл
СУЛЬФАЦИЛ НАТРИЯ  фл. 20% 5мл
СУЛЬФОКАМФОКАИН 10% 2мл амп. 10% 2мл №10
СУЛЬФОКАМФОКАИН 10% 2мл амп. 10% 2мл №10
СУЛЬЦЕФ  пор. д\ин. фл.2г №100 
СУЛЬЦЕФ  пор. д\ин. фл.2г №100 
СУЛЬЦЕФ  пор. д\ин. фл.2г №100 
СУЛЬЦЕФ  пор. д\ин. фл.2г №100 
СУЛЬЦЕФ  пор. д\ин. фл.2г №100 
СУЛЬЦЕФ  пор. д\ин. фл.2г №100 
СУПРАДИН  шип. тб. №10
СУПРАСТИН  амп. 2% 1мл №5
СУПРАСТИН  таб. 25мг №20
СУПРАСТИН  таб. 25мг №20
СУПРАСТИН  таб. 25мг №20
СУПРАСТИН  таб. 25мг №20
ТАВАНИК  таб. п/обол. 500мг №5
ТАВАНИК  таб. п/обол. 500мг №5
ТАВАНИК  таб. п/обол. 500мг №5
ТАВАНИК  фл. 500мг/100мл 100мл
ТАВАНИК  фл. 500мг/100мл 100мл
ТАВАНИК  фл. 500мг/100мл 100мл
ТАВАНИК  фл. 500мг/100мл 100мл
ТАВАНИК  фл. 500мг/100мл 100мл
ТАВАНИК  фл. 500мг/100мл 100мл
ТАВЕГИЛ  амп. 0,1% 2мл №5
ТАВЕГИЛ  таб.  1мг №10
ТАМИФЛЮ  капс. 0,075 №10
ТАНАКАН  таб. 40мг №30
ТАНТУМ ВЕРДЕ  р-р 120 мл
ТАНТУМ ВЕРДЕ  спрей 30мл
ТАНТУМ ВЕРДЕ  спрей 30мл
ТАХОКОМБ  пластины. 4.8х4.8х0.5см №2
ТАХОКОМБ  пластины. 4.8х4.8х0.5см №2
ТАХОКОМБ  пластины. 4.8х4.8х0.5см №2
ТАХОКОМБ  пластины. 9.5х4.8х0.5см №1
ТАХОКОМБ  пластины. 9.5х4.8х0.5см №1
ТАХОКОМБ  пластины. 9.5х4.8х0.5см №1
ТЕБАНТИН  капс. 300мг №100
ТЕБАНТИН  капс. 300мг №100
ТЕВЕТЕН ПЛЮС **  п/о тб. №28
ТЕВЕТЕН ПЛЮС **  п/о тб. №28
ТЕРАЛИДЖЕН  5мг №50
ТЕРАФЛЮ  22,1г №10 д/р-ра д/приема внутрь
ТЕРАФЛЮ ЭКСТРА  пор. №10
ТЕТРАСПАН 6  500 мл
ТЕТРАСПАН 6  500 мл
ТЕТРАСПАН 6  500 мл
ТИАМИНА ХЛОРИД  амп. 5% 1мл №10
ТИАМИНА ХЛОРИД  амп. 5% 1мл №10
ТИАМИНА ХЛОРИД  амп. 5% 1мл №10
ТИАМИНА ХЛОРИД  амп. 5% 1мл №10
ТИАМИНА ХЛОРИД  амп. 5% 1мл №10
ТИАМИНА ХЛОРИД  амп. 5% 1мл №10
ТИАМИНА ХЛОРИД  амп. 5% 1мл №10
ТИАМИНА ХЛОРИД  амп. 5% 1мл №10
ТИАПРИД  ** таб. 100мг №30
ТИАПРИД  ** таб. 100мг №30
ТИАПРИД  амп. 50мг/мл 2мл №10
ТИАПРИД  амп. 50мг/мл 2мл №10
ТИАПРИД  амп. 50мг/мл 2мл №10
ТИГАЦИЛ  фл. 50мг №10
ТИГАЦИЛ  фл. 50мг №10
ТИЕНАМ  фл. 500мг+500мг 20мл  д/инф. №10
ТИЕНАМ  фл. 500мг+500мг 20мл  д/инф. №10
ТИЕНАМ  фл. 500мг+500мг 20мл  д/инф. №10
ТИЕНАМ  фл. 500мг+500мг 20мл  д/инф. №10
ТИЕНАМ  фл. 500мг+500мг 20мл  д/инф. №10
ТИЗАЛУД  2мгтаб  №30
ТИЗАЛУД  4мг таб. №30
ТИЗАЛУД  4мг таб. №30
ТИМОЛОЛ  кап. гл. 0,5%-5,0
ТИОПЕНТАЛ-НАТРИЙ  фл. 1г №1
ТИОПЕНТАЛ-НАТРИЙ  фл. 500мг
ТИРОЗОЛ  таб. 5мг № 50
ТИРОЗОЛ  тб 10мг №50
ТОРАСЕМИД  таб.  5мг №20
ТОРАСЕМИД  таб. 10мг №60
ТОРАСЕМИД  таб. 10мг №60
ТОРАСЕМИД  таб. 10мг №60
ТРАЙКОР  таб п/о 145мг №30
ТРАМАДОЛ  амп. 50мг/мл 2мл № 5
ТРАНЕКСАМ  50мг\мл 5мл №10
ТРАНЕКСАМ  50мг\мл 5мл №10
ТРАНЕКСАМ  50мг\мл 5мл №10
ТРАНЕКСАМ  50мг\мл 5мл №10
ТРАНЕКСАМ  50мг\мл 5мл №10
ТРАНЕКСАМ  50мг\мл 5мл №10
ТРАНЕКСАМ  50мг\мл 5мл №10
ТРАНЕКСАМ  50мг\мл 5мл №10
ТРАНЕКСАМ  50мг\мл 5мл №10
ТРАНЕКСАМ  50мг\мл 5мл №10
ТРАНЕКСАМ  50мг\мл 5мл №10
ТРАУМЕЛЬ С  мазь 50,0
ТРАУМЕЛЬ С  фл. 2,2мл №5
ТРЕНТАЛ  амп. 100мг 5мл №5
ТРИМЕДАТ  тб 200мг №30
ТРИТТИКО  таб. ретард 150мг №20
ТРИХОПОЛ  таб. 250мг №20
ТРИХОПОЛ  таб. 250мг №20
ТРОКСЕВАЗИН  гель. 2% 40г
ТРОКСЕРУТИН   гель 2% 40г
ТРОМБО АСС **  100мг таб.п/об №100
ТРОМБО АСС **  тб 100мг №28
ТРОМБО АСС **  тб 100мг №28
ТРОМБО АСС **  тб 100мг №28
ТРОМБО АСС **  тб 100мг №28
ТРОМБО АСС **  тб 100мг №28
ТРОМБО АСС **  тб 100мг №28
ТРОМБО АСС **  тб 100мг №28
УГОЛЬ АКТИВИРОВАННЫЙ **  таб. 250мг №10
УГОЛЬ АКТИВИРОВАННЫЙ **  таб. 250мг №10
УГОЛЬ АКТИВИРОВАННЫЙ **  таб. 250мг №10
УГОЛЬ АКТИВИРОВАННЫЙ **  таб. 250мг №10
УГОЛЬ АКТИВИРОВАННЫЙ **  тб. 0,25 №50
УЛЬТОП **  капс. 20мг №28
УЛЬТОП **  капс. 20мг №28
УЛЬТРАВИСТ-300  карт. 150мл №10
УЛЬТРАВИСТ-300  карт. 150мл №10
УЛЬТРАВИСТ-370  карт. 100мл №10
УЛЬТРАКАИН ДС  амп. 2мл №10
УЛЬТРАКАИН ДС  амп. 2мл №10
УЛЬТРАКАИН ДС ФОРТЕ  карт. 1.7мл №100
УЛЬТРАКАИН ДС ФОРТЕ  карт. 1.7мл №100
УНИТИОЛ  амп. 5% 5мл №10
УНИТИОЛ  амп. 5% 5мл №10
УНИТИОЛ  амп. 5% 5мл №10
УРОГРАФИН  амп. 76% 20мл №10
УРСОСАН **  капс. 250мг №100
УРСОСАН **  капс. 250мг №100
УРСОСАН **  капс. 250мг №50
УРСОСАН **  капс. 250мг №50
"Устройство для инфузионной терапии ""Интрапур Инлайн""  Б.Браун Медикал  "
УТРОЖЕСТАН  капс. 200мг №14
УТРОЖЕСТАН  капс. 200мг №14
ФАМОТИДИН  таб. п/обол. 20мг №30
ФАМОТИДИН  таб. п/обол. 20мг №30
ФАМОТИДИН  таб. п/обол. 20мг №30
ФАМОТИДИН  таб. п/обол. 20мг №30
ФАМОТИДИН  таб. п/обол. 20мг №30
ФАМОТИДИН  таб. п/обол. 20мг №30
ФАСТУМ  гель. 2.5% 30г
ФЕНАЗЕПАМ  ** таб. 1мг №50
ФЕНАЗЕПАМ  ** таб. 1мг №50
ФЕНАЗЕПАМ  ** таб. 1мг №50
ФЕНАЗЕПАМ  ** таб. 1мг №50
ФЕНАЗЕПАМ  ** таб. 1мг №50
ФЕНАЗЕПАМ  ** таб. 1мг №50
ФЕНАЗЕПАМ  амп. 0,1% 1мл №10
ФЕНАЗЕПАМ  амп. 0,1% 1мл №10
ФЕНАЗЕПАМ  амп. 0,1% 1мл №10
ФЕНАЗЕПАМ  амп. 0,1% 1мл №10
ФЕНАЗЕПАМ  амп. 0,1% 1мл №10
ФЕНАЗЕПАМ  амп. 0,1% 1мл №10
ФЕНАЗЕПАМ  амп. 0,1% 1мл №10
ФЕНАЗЕПАМ  амп. 0,1% 1мл №10
ФЕНДИВИЯ  ТТС 25 мкг/час в пакетах №5
ФЕНДИВИЯ  ТТС 25 мкг/час в пакетах №5
ФЕНДИВИЯ  ТТС 50 мкг/час в пакетах №5
ФЕНДИВИЯ  ТТС 50 мкг/час в пакетах №5
ФЕНДИВИЯ  ТТС 50 мкг/час в пакетах №5
ФЕНДИВИЯ  ТТС 75 мкг/час в пакетах №5
ФЕНДИВИЯ  ТТС 75 мкг/час в пакетах №5
ФЕНИБУТ **  таб. 250мг № 10
ФЕНИБУТ **  таб. 250мг №20
ФЕНИБУТ **  таб. 250мг №20
ФЕНИБУТ **  таб. 250мг №20
ФЕНИБУТ **  таб. 250мг №20
ФЕНТАНИЛ  амп. 0,005% 2мл
ФЕНТАНИЛ  амп. 0,005% 2мл
ФЕНТАНИЛ  амп. 0,005% 2мл
ФЕНТАНИЛ  амп. 0,005% 2мл
ФЕРИНЖЕКТ  в/в 50мг/мл 10мл №1
ФЕРИНЖЕКТ  в/в 50мг/мл 10мл №1
ФЕРРУМ ЛЕК  амп. 2мл в/м № 5
ФЕРРУМ ЛЕК  амп. 2мл в/м №50
ФЕРРУМ ЛЕК  амп. 2мл в/м №50
ФЕРРУМ ЛЕК  таб. жев. 100мг №30
ФЕРРУМ ЛЕК  таб. жев. 100мг №30
ФЕРРУМ ЛЕК  таб. жев. 100мг №30
ФЕРРУМ ЛЕК  таб. жев. 100мг №30
ФЕРРУМ ЛЕК  таб. жев. 100мг №30
ФИЗИОТЕНЗ  0,2мг таб №28
ФИЗИОТЕНЗ  0,2мг таб №28
ФИЗИОТЕНЗ  0,2мг таб №28
ФИЗИОТЕНЗ  0,2мг таб №28
ФИЗИОТЕНЗ  0,2мг таб №28
ФИЗИОТЕНЗ  0,2мг таб №28
ФИЗИОТЕНЗ  0,4мг таб №28
ФИЗИОТЕНЗ  0,4мг таб №28
ФИЗИОТЕНЗ  0,4мг таб №28
ФИЗИОТЕНЗ  0,4мг таб №28
ФИЗИОТЕНЗ  0,4мг таб №28
ФИЗИОТЕНЗ  0,4мг таб №28
ФИЗИОТЕНЗ  0,4мг таб №28
Фиксатор винтовой (231816-231831) DePuy Mitek Inc., США  
Фиксатор винтовой (231816-231831) DePuy Mitek Inc., США  
"Фиксирующий винт имплантата межпозвонкового Scarlet AC-T, ""Spineart "" Швейцария  "
ФИНЛЕПСИН  таб. 200мг №50
ФИНЛЕПСИН  таб. 200мг №50
ФИНЛЕПСИН РЕТАРД  таб. 200мг №50
ФЛЕБОДИА  600мг №30
ФЛЕМОКСИН СОЛЮТАБ  таб. 1г №20
ФЛЕМОКСИН СОЛЮТАБ  таб. 1г №20
ФЛИТ ФОСФО-СОДА  р-р 45мл №2
ФЛУИМУЦИЛ  р-р д/ин.,инг. 100мг/мл 3мл №5
ФЛУИМУЦИЛ  р-р д/ин.,инг. 100мг/мл 3мл №5
ФЛУИМУЦИЛ  р-р д/ин.,инг. 100мг/мл 3мл №5
ФЛУИМУЦИЛ  таб. шип. 600мг №10
ФЛУКОНАЗОЛ **  капс. 50мг №7
ФЛУКОНАЗОЛ **  капс. 50мг №7
ФЛУКОНАЗОЛ **  капс. 50мг №7
ФЛУКОНАЗОЛ **  капс. 50мг №7
ФЛУКОНАЗОЛ **  капс. 50мг №7
ФЛУКОРУС  р-р д/инф., 2 мг/мл, бут. стекл., 100 мл, №1 
ФЛУКОРУС  р-р д/инф., 2 мг/мл, бут. стекл., 100 мл, №1 
ФОЛИЕВАЯ КИСЛОТА **  таб. 1мг №50
ФОЛИЕВАЯ КИСЛОТА **  таб. 1мг №50
ФОРАДИЛ КОМБИ  12/200мкг капс. №120
ФОРЕТАЛЬ  крем 30г
ФОРЕТАЛЬ  крем 30г
ФОРТРАНС  пак. 64г №4
ФОРТРАНС  пак. 64г №4
ФОРТРАНС  пак. 64г №4
ФОРТРАНС  пак. 64г №4
ФОРТРАНС  пак. 64г №4
ФОРТРАНС  пак. 64г №4
ФОРТРАНС  пак. 64г №4
ФОСФОГЛИВ  капс. №50
ФОСФОГЛИВ  капс. №50
ФОСФОГЛИВ  лиоф. д/ин. фл. 2,5г №5
ФОСФОГЛИВ  лиоф. д/ин. фл. 2,5г №5
ФОСФОГЛИВ  лиоф. д/ин. фл. 2,5г №5
ФОСФОГЛИВ  лиоф. д/ин. фл. 2,5г №5
ФОСФОГЛИВ  лиоф. д/ин. фл. 2,5г №5
ФРАКСИПАРИН  шприц/тюб. 0.3мл 2850МЕ №10
ФРАКСИПАРИН  шприц/тюб. 0.3мл 2850МЕ №10
ФРАКСИПАРИН  шприц/тюб. 0.3мл 2850МЕ №10
ФРАКСИПАРИН  шприц/тюб. 0.6мл 5700МЕ №10
ФРОМИЛИД **  таб. п/обол. 500мг №14
ФРОМИЛИД **  таб. п/обол. 500мг №14
ФТОРУРАЦИЛ  50мг/мл 20мл
ФТОРУРАЦИЛ  50мг/мл 20мл
ФТОРУРАЦИЛ  50мг/мл 20мл
ФУКОРЦИН **  фл. 25мл
ФУКОРЦИН **  фл. 25мл
ФУКОРЦИН **  фл. 25мл
ФУКОРЦИН **  фл. 25мл
ФУРАМАГ **  капс. 25мг №30
ФУРАМАГ **  капс. 25мг №30
ФУРАМАГ **  капс. 50мг №30
ФУРАМАГ **  капс. 50мг №30
ФУРОСЕМИД  ** таб. 40мг №50
ФУРОСЕМИД  ** таб. 40мг №50
ФУРОСЕМИД  ** таб. 40мг №50
ФУРОСЕМИД  ** таб. 40мг №50
ФУРОСЕМИД  амп. 1% 2мл №10
ФУРОСЕМИД  амп. 1% 2мл №10
ФУРОСЕМИД  амп. 1% 2мл №10
ФУРОСЕМИД  амп. 1% 2мл №10
ФУРОСЕМИД  амп. 1% 2мл №10
ФУРОСЕМИД  амп. 1% 2мл №10
